AnalysisDate,Time Period,MMWRyear,MMWRweek,Weekending,RaceEthnicity,Sex,AgeGroup,Deaths (weighted),COVID19 (weighted),Deaths (unweighted),COVID19 (unweighted),Average number of deaths (weighted),Average number of deaths (unweighted),Number above average (weighted),Percent above average (weighted),Number above average (unweighted),Percent above average (unweighted),Footnote,Geography
01/16/2022,2015-2019,2015,1,01/10/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,624,0,624,0,615,615,,,,,,United States
01/16/2022,2015-2019,2015,2,01/17/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,664,0,664,0,605,605,,,,,,United States
01/16/2022,2015-2019,2015,3,01/24/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,616,0,616,0,600,600,,,,,,United States
01/16/2022,2015-2019,2015,4,01/31/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,620,0,620,0,603,603,,,,,,United States
01/16/2022,2015-2019,2015,5,02/07/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,614,0,614,0,613,613,,,,,,United States
01/16/2022,2015-2019,2015,6,02/14/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,672,0,672,0,628,628,,,,,,United States
01/16/2022,2015-2019,2015,7,02/21/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,629,0,629,0,626,626,,,,,,United States
01/16/2022,2015-2019,2015,8,02/28/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,691,0,691,0,624,624,,,,,,United States
01/16/2022,2015-2019,2015,9,03/07/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,623,0,623,0,616,616,,,,,,United States
01/16/2022,2015-2019,2015,10,03/14/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,596,0,596,0,610,610,,,,,,United States
01/16/2022,2015-2019,2015,11,03/21/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,688,0,688,0,622,622,,,,,,United States
01/16/2022,2015-2019,2015,12,03/28/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,647,0,647,0,636,636,,,,,,United States
01/16/2022,2015-2019,2015,13,04/04/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,640,0,640,0,614,614,,,,,,United States
01/16/2022,2015-2019,2015,14,04/11/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,604,0,604,0,597,597,,,,,,United States
01/16/2022,2015-2019,2015,15,04/18/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,655,0,655,0,611,611,,,,,,United States
01/16/2022,2015-2019,2015,16,04/25/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,648,0,648,0,617,617,,,,,,United States
01/16/2022,2015-2019,2015,17,05/02/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,657,0,657,0,616,616,,,,,,United States
01/16/2022,2015-2019,2015,18,05/09/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,628,0,628,0,619,619,,,,,,United States
01/16/2022,2015-2019,2015,19,05/16/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,650,0,650,0,617,617,,,,,,United States
01/16/2022,2015-2019,2015,20,05/23/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,662,0,662,0,614,614,,,,,,United States
01/16/2022,2015-2019,2015,21,05/30/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,617,0,617,0,607,607,,,,,,United States
01/16/2022,2015-2019,2015,22,06/06/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,645,0,645,0,628,628,,,,,,United States
01/16/2022,2015-2019,2015,23,06/13/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,639,0,639,0,627,627,,,,,,United States
01/16/2022,2015-2019,2015,24,06/20/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,723,0,723,0,645,645,,,,,,United States
01/16/2022,2015-2019,2015,25,06/27/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,665,0,665,0,635,635,,,,,,United States
01/16/2022,2015-2019,2015,26,07/04/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,684,0,684,0,623,623,,,,,,United States
01/16/2022,2015-2019,2015,27,07/11/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,613,0,613,0,605,605,,,,,,United States
01/16/2022,2015-2019,2015,28,07/18/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,630,0,630,0,621,621,,,,,,United States
01/16/2022,2015-2019,2015,29,07/25/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,663,0,663,0,630,630,,,,,,United States
01/16/2022,2015-2019,2015,30,08/01/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,627,0,627,0,621,621,,,,,,United States
01/16/2022,2015-2019,2015,31,08/08/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,662,0,662,0,596,596,,,,,,United States
01/16/2022,2015-2019,2015,32,08/15/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,631,0,631,0,607,607,,,,,,United States
01/16/2022,2015-2019,2015,33,08/22/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,648,0,648,0,613,613,,,,,,United States
01/16/2022,2015-2019,2015,34,08/29/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,612,0,612,0,616,616,,,,,,United States
01/16/2022,2015-2019,2015,35,09/05/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,634,0,634,0,583,583,,,,,,United States
01/16/2022,2015-2019,2015,36,09/12/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,648,0,648,0,609,609,,,,,,United States
01/16/2022,2015-2019,2015,37,09/19/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,615,0,615,0,606,606,,,,,,United States
01/16/2022,2015-2019,2015,38,09/26/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,655,0,655,0,621,621,,,,,,United States
01/16/2022,2015-2019,2015,39,10/03/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,534,0,534,0,588,588,,,,,,United States
01/16/2022,2015-2019,2015,40,10/10/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,605,0,605,0,603,603,,,,,,United States
01/16/2022,2015-2019,2015,41,10/17/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,620,0,620,0,584,584,,,,,,United States
01/16/2022,2015-2019,2015,42,10/24/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,586,0,586,0,592,592,,,,,,United States
01/16/2022,2015-2019,2015,43,10/31/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,560,0,560,0,581,581,,,,,,United States
01/16/2022,2015-2019,2015,44,11/07/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,623,0,623,0,586,586,,,,,,United States
01/16/2022,2015-2019,2015,45,11/14/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,589,0,589,0,582,582,,,,,,United States
01/16/2022,2015-2019,2015,46,11/21/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,596,0,596,0,586,586,,,,,,United States
01/16/2022,2015-2019,2015,47,11/28/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,608,0,608,0,591,591,,,,,,United States
01/16/2022,2015-2019,2015,48,12/05/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,611,0,611,0,593,593,,,,,,United States
01/16/2022,2015-2019,2015,49,12/12/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,634,0,634,0,580,580,,,,,,United States
01/16/2022,2015-2019,2015,50,12/19/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,594,0,594,0,596,596,,,,,,United States
01/16/2022,2015-2019,2015,51,12/26/2015,All Race/Ethnicity Groups,All Sexes,0-14 Years,654,0,654,0,605,605,,,,,,United States
01/16/2022,2015-2019,2015,52,01/02/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,579,0,579,0,592,592,,,,,,United States
01/16/2022,2015-2019,2016,1,01/09/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,617,0,617,0,615,615,,,,,,United States
01/16/2022,2015-2019,2016,2,01/16/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,601,0,601,0,605,605,,,,,,United States
01/16/2022,2015-2019,2016,3,01/23/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,632,0,632,0,600,600,,,,,,United States
01/16/2022,2015-2019,2016,4,01/30/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,602,0,602,0,603,603,,,,,,United States
01/16/2022,2015-2019,2016,5,02/06/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,612,0,612,0,613,613,,,,,,United States
01/16/2022,2015-2019,2016,6,02/13/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,661,0,661,0,628,628,,,,,,United States
01/16/2022,2015-2019,2016,7,02/20/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,666,0,666,0,626,626,,,,,,United States
01/16/2022,2015-2019,2016,8,02/27/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,651,0,651,0,624,624,,,,,,United States
01/16/2022,2015-2019,2016,9,03/05/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,615,0,615,0,616,616,,,,,,United States
01/16/2022,2015-2019,2016,10,03/12/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,629,0,629,0,610,610,,,,,,United States
01/16/2022,2015-2019,2016,11,03/19/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,650,0,650,0,622,622,,,,,,United States
01/16/2022,2015-2019,2016,12,03/26/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,664,0,664,0,636,636,,,,,,United States
01/16/2022,2015-2019,2016,13,04/02/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,642,0,642,0,614,614,,,,,,United States
01/16/2022,2015-2019,2016,14,04/09/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,630,0,630,0,597,597,,,,,,United States
01/16/2022,2015-2019,2016,15,04/16/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,618,0,618,0,611,611,,,,,,United States
